mpn	name	status	type	wifi	bluetooth	threadZigbee	operatingTemp	gpio	flash	sram	rom	psram	freq	dimensions	spq	moq	preFirmware	idfSupports	voltageRange
ESP32-S3-WROOM-1-N16R2	ESP32-S3-WROOM-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	36	"16, Quad"	512	384	"2, Quad"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-WROOM-1-H4	ESP32-S3-WROOM-1_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	36	"4, Quad"	512	384	"0, Quad"	240	18*25.5*3.1	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-MINI-1-N8	ESP32-S3-MINI-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	39	"8, Quad"	512	384	"0, Quad"	240	15.4*20.5*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S3-MINI-1-N4R2	ESP32-S3-MINI-1	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	39	"4, Quad"	512	384	"2, Quad"	237	15.4*20.5*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-MINI-1-N4	ESP32-C3-MINI-1	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	15	"4, Quad"	400	384	"0, Quad"	160	13.2*16.6*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-MINI-1-H4	ESP32-C3-MINI-1_High Temp Version	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	13.2*16.6*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-MINI-1U-N4	ESP32-C3-MINI-1U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	15	"4, Quad"	400	384	"0, Quad"	160	13.2*12.5*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-MINI-1U-H4	ESP32-C3-MINI-1U_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	13.2*12.5*2.4	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-WROOM-02-N4	ESP32-C3-WROOM-02	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	15	"4, Quad"	400	384	"0, Quad"	160	18*20*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-WROOM-02-H4	ESP32-C3-WROOM-02_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	18*20*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-WROOM-02U-N4	ESP32-C3-WROOM-02U	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 85	15	"4, Quad"	400	384	"0, Quad"	160	18*14.3*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-C3-WROOM-02U-H4	ESP32-C3-WROOM-02U_High Temp Version	Mass Production	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	Bluetooth LE v5.0	N/A	-40 ~ 105	15	"4, Quad"	400	384	"0, Quad"	160	18*14.3*3.2	650	3250	NO	v0.x	3.0 ~ 3.6
ESP32-S2-MINI-1-N4	ESP32-S2-MINI-1	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"0, Quad"	240	15.4*20*2.4	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-MINI-1-H4	ESP32-S2-MINI-1_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	37	"4, Quad"	320	128	"0, Quad"	240	15.4*20*2.4	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-MINI-1-N4R2	ESP32-S2-MINI-1(integrates PSRAM)	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"2, Quad"	240	15.4*20*2.4	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-MINI-1U-N4	ESP32-S2-MINI-1U	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"0, Quad"	240	15.4*15.4*2.4	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-MINI-1U-H4	ESP32-S2-MINI-1U_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	37	"4, Quad"	320	128	"0, Quad"	240	15.4*15.4*2.4	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-MINI-1U-N4R2	ESP32-S2-MINI-1U(integrates PSRAM)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"2, Quad"	240	15.4*15.4*2.4	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-N4	ESP32-S2-SOLO	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-N8	ESP32-S2-SOLO	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"8, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-N16	ESP32-S2-SOLO	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"16, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-H4	ESP32-S2-SOLO_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	36	"4, Quad"	320	128	"0, Quad"	240	18*25.5*3.1	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-N4R2	ESP32-S2-SOLO(integrates PSRAM)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"2, Quad"	240	18*25.5*3.1	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-U-N4	ESP32-S2-SOLO-U	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"0, Quad"	240	18*19.2*3.2	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-U-N8	ESP32-S2-SOLO-U	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"8, Quad"	320	128	"0, Quad"	240	18*19.2*3.2	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-U-N16	ESP32-S2-SOLO-U	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"16, Quad"	320	128	"0, Quad"	240	18*19.2*3.2	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-U-H4	ESP32-S2-SOLO-U_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	36	"4, Quad"	320	128	"0, Quad"	240	18*19.2*3.2	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-SOLO-U-N4R2	ESP32-S2-SOLO-U(integrates PSRAM)	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	36	"4, Quad"	320	128	"2, Quad"	240	18*19.2*3.2	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROOM-N4	ESP32-S2-WROOM	NRND	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"0, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROOM-H4	ESP32-S2-WROOM_High Temp Version	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 105	37	"4, Quad"	320	128	"0, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
ESP32-S2-WROOM-I-N4	ESP32-S2-WROOM-I	EOL	Module	IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps	N/A	N/A	-40 ~ 85	37	"4, Quad"	320	128	"0, Quad"	240	18*31*3.3	650	3250	NO	-	3.0 ~ 3.6
